feature,component,current_status,evidence,problem,required_change,priority,implemented,tested,notes
Grounding — prompt injection defense,services/legal_grounding.py,COMPLETE,_FENCE_RE strips fence tags from retrieved content,None,None,5,YES,YES,
Grounding — citations from DB rows,services/legal_grounding.py,COMPLETE,build_citations() uses only retrieval row fields,None,None,6,YES,YES,
Grounding — context block fencing,services/legal_grounding.py,COMPLETE,<legal_context> fence prevents data-as-instructions,None,None,5,YES,YES,
Grounding — language detection,services/legal_grounding.py,COMPLETE,Devanagari vs Latin script detection,None,None,5,YES,YES,
Grounding — fallback answers,services/legal_grounding.py,COMPLETE,Bilingual fallbacks for no_match / unavailable / error,None,None,5,YES,YES,
Response Schema,schemas/conversation.py,COMPLETE,ConversationResponse with status/grounded/generation/citations/follow_up_questions,None,None,5,YES,YES,
Security — SQL injection,services/knowledge_retrieval.py,COMPLETE,All queries parameterised; LIKE metachar escaped,None,None,8,YES,YES,
Security — prompt injection,services/legal_grounding.py,COMPLETE,Context fenced + fence tags stripped from data,None,None,8,YES,YES,
Security — secret exposure,core/config.py / core/exceptions.py,COMPLETE,API key never in logs/errors; stack traces not returned to client,None,None,8,YES,YES,
Security — authentication,app/api/,MISSING,No authentication on any endpoint,All endpoints publicly accessible,Implement API key or JWT authentication,1,NO,NO,Critical for production
Security — rate limiting,app/api/,MISSING,No rate limiting,Unlimited requests per IP/session,Implement rate limiting middleware,8,NO,NO,
Security — CORS,app/main.py,PARTIAL,CORS configured but default allows localhost:3000 and localhost:8080,In production this should be locked to actual frontend origins,Tighten CORS origins for production,8,YES,NO,
API validation — request bodies,All routes,COMPLETE,Invalid bodies rejected with structured errors,None,None,8,YES,YES,
API pagination,GET /api/knowledge/search,PARTIAL,limit parameter exists (max 100),No cursor/offset-based pagination,Add offset parameter for larger result sets,7,YES,NO,
API documentation,FastAPI OpenAPI,PARTIAL,Auto-generated from type annotations,Retrieve endpoint has inline description doc; others minimal,Add proper docstrings and response_model examples,7,YES,NO,
Logging — structured,app/core/logging.py,PARTIAL,Basic formatted console logging,No request ID / correlation ID / structured JSON logs,Add request ID middleware and structured logging,8,YES,NO,
Logging — no secrets,app/core/logging.py,COMPLETE,Privacy comment explicitly prohibits secret logging,None,None,8,YES,YES,
Error handling — controlled,app/core/exceptions.py,COMPLETE,All exception types mapped; no stack traces to client,None,None,8,YES,YES,
Error handling — database,app/db/session.py,COMPLETE,Any pool exception → DatabaseUnavailableError (503),None,None,8,YES,YES,
Connection pooling,app/db/session.py,PARTIAL,min_size=1 max_size=5 psycopg-pool,No connection timeout config; no health check interval,Consider adding reconnect policy for Neon's idle disconnects,8,YES,NO,
Database — duplicate sources,sources table,BROKEN,2 rows with name=Development Sample Source,No uniqueness constraint on (name, source_type) when no URL,Migration or cleanup script needed,1,NO,NO,
Database — duplicate documents,legal_documents table,PARTIAL,3 copies of Muluki Dewani Samhita across 3 domains,By design? Same law in multiple domain contexts is allowed by schema,Decide: consolidate or keep per-domain copies,2,NO,NO,Each copy has different domain_id for domain-filtered retrieval
Dev data cleanup,knowledge_chunks / legal_documents,PARTIAL,Dev sample data remains,DEVELOPMENT ONLY content in production,Provide migration or cleanup script,2,NO,NO,Do NOT delete production data via DROP/TRUNCATE
Integration tests — TEST_DATABASE_URL,tests/integration/,BLOCKED,67 tests skip without TEST_DATABASE_URL,Cannot verify DB-level behavior without test database,Set up TEST_DATABASE_URL and run integration tests,7,NO,NO,
E2E test — 6-turn canonical scenario,tests/,MISSING,test_6turn_conversation.py exists but is manual/external,No automated E2E test in pytest suite,Create automated 6-turn E2E test,7,NO,NO,
Document intelligence foundation,app/,MISSING,No document upload/extraction infrastructure,Cannot process PDFs or court notices,Design file metadata + storage abstraction,8,NO,NO,Low priority for initial release
Legal currentness metadata,legal_documents table,MISSING,effective_date and status columns exist but all NULL,Cannot communicate amendment/repeal status,Populate effective_date and status for imported documents,2,NO,NO,
Court case repository,repositories/court_cases.py,PARTIAL,Repository exists; table has 0 rows,No verified court decisions imported,Requires verified court decision source,2,YES,NO,
Government resources repository,repositories/government_resources.py,PARTIAL,Repository exists; table has 0 rows,No government resources imported,Requires data entry or import pipeline,2,YES,NO,
